direction,qty,entry_time_utc,exit_time_utc,entry_price,exit_price,pnl,commission,mae,mfe,entry_tag,exit_tag
long,1,2026-02-11T13:50:00.380000,2026-02-11T18:08:16.100000,25300.7500,25259.2500,-84.04,1.04,-93.00,120.00,long,reverse
short,1,2026-02-11T18:08:22.984000,2026-02-11T20:38:40.688000,25258.2500,25307.0000,-98.54,1.04,-98.00,105.50,short,reverse
long,1,2026-02-11T20:38:45.116000,2026-02-11T20:43:05.148000,25308.2500,25313.5000,9.46,1.04,-17.50,12.00,long,eod
short,1,2026-02-12T09:30:02.312000,2026-02-12T09:32:54.780000,25319.7500,25369.7500,-101.04,1.04,-99.50,9.50,short,stop
long,1,2026-02-12T11:36:58.400000,2026-02-12T11:46:51.824000,24908.0000,24858.0000,-101.04,1.04,-99.50,24.00,long,stop
short,1,2026-02-12T12:56:35.084000,2026-02-12T13:41:20.916000,24838.2500,24888.2500,-101.04,1.04,-99.50,74.50,short,stop
long,1,2026-02-12T13:43:09.956000,2026-02-12T14:11:28.272000,24902.0000,24852.0000,-101.04,1.04,-99.50,55.50,long,stop
short,1,2026-02-12T15:20:00.312000,2026-02-12T16:29:58.456000,24840.0000,24823.0000,32.96,1.04,-5.00,237.00,short,reverse
long,1,2026-02-12T16:30:46.800000,2026-02-12T18:38:48.892000,24824.0000,24774.0000,-101.04,1.04,-99.50,63.00,long,stop
short,1,2026-02-12T18:40:06.476000,2026-02-12T18:49:07.168000,24752.0000,24802.0000,-101.04,1.04,-99.00,15.00,short,stop
long,1,2026-02-12T19:01:32.108000,2026-02-12T19:24:50.140000,24846.0000,24796.0000,-101.04,1.04,-99.50,37.00,long,stop
short,1,2026-02-12T19:42:23.836000,2026-02-12T20:07:40.220000,24763.7500,24810.0000,-93.54,1.04,-94.50,110.50,short,reverse
long,1,2026-02-12T20:07:40.556000,2026-02-12T21:33:09.480000,24811.5000,24831.7500,39.46,1.04,-93.50,41.00,long,eod
short,1,2026-02-13T00:24:19.612000,2026-02-13T02:12:47.084000,24725.5000,24743.7500,-37.54,1.04,-37.00,165.50,short,reverse
long,1,2026-02-13T02:16:02.100000,2026-02-13T03:17:27.376000,24745.0000,24695.0000,-101.04,1.04,-99.00,61.50,long,stop
short,1,2026-02-13T06:05:00.308000,2026-02-13T07:00:09.288000,24705.2500,24726.7500,-44.04,1.04,-43.50,162.00,short,reverse
long,1,2026-02-13T07:00:26.532000,2026-02-13T07:11:56.968000,24727.7500,24677.7500,-101.04,1.04,-99.50,35.50,long,stop
short,1,2026-02-13T08:10:00.392000,2026-02-13T08:24:00.076000,24644.0000,24694.0000,-101.04,1.04,-99.50,48.00,short,stop
long,1,2026-02-13T08:30:01.060000,2026-02-13T08:32:38.360000,24712.0000,24722.0000,18.96,1.04,0.00,225.00,long,reverse
short,1,2026-02-13T08:32:38.372000,2026-02-13T08:33:32.860000,24721.2500,24771.2500,-101.04,1.04,-99.50,16.00,short,stop
long,1,2026-02-13T09:02:56.004000,2026-02-13T09:06:15.956000,24815.0000,24765.0000,-101.04,1.04,-99.50,11.00,long,stop
short,1,2026-02-13T09:30:26.160000,2026-02-13T09:31:49.004000,24717.0000,24767.0000,-101.04,1.04,-99.50,51.50,short,stop
long,1,2026-02-13T09:33:01.924000,2026-02-13T09:33:49.328000,24796.0000,24746.0000,-101.04,1.04,-99.50,8.00,long,stop
short,1,2026-02-13T09:35:24.776000,2026-02-13T09:43:48.264000,24696.2500,24679.5000,32.46,1.04,-83.50,235.00,short,reverse
long,1,2026-02-13T09:43:48.264000,2026-02-13T09:50:08.044000,24679.5000,24747.0000,133.96,1.04,-29.50,340.50,long,reverse
short,1,2026-02-13T09:50:08.140000,2026-02-13T09:55:14.844000,24746.0000,24792.0000,-93.04,1.04,-92.00,120.50,short,reverse
long,1,2026-02-13T09:55:14.860000,2026-02-13T09:56:39.952000,24793.0000,24743.0000,-101.04,1.04,-99.50,21.00,long,stop
short,1,2026-02-13T09:56:53.308000,2026-02-13T10:00:53.252000,24700.0000,24750.0000,-101.04,1.04,-99.50,40.00,short,stop
long,1,2026-02-13T10:08:46.580000,2026-02-13T10:16:40.416000,24780.5000,24731.2500,-99.54,1.04,-99.00,105.50,long,reverse
short,1,2026-02-13T10:16:49.992000,2026-02-13T10:20:43.984000,24730.0000,24780.0000,-101.04,1.04,-99.50,24.50,short,stop
long,1,2026-02-13T10:27:02.000000,2026-02-13T10:39:47.012000,24821.0000,24828.7500,14.46,1.04,-28.50,216.50,long,reverse
short,1,2026-02-13T10:39:47.080000,2026-02-13T10:55:04.460000,24827.0000,24822.7500,7.46,1.04,-29.50,213.50,short,reverse
long,1,2026-02-13T10:55:04.464000,2026-02-13T11:21:02.576000,24823.5000,24786.0000,-76.04,1.04,-75.00,130.00,long,reverse
short,1,2026-02-13T11:21:02.796000,2026-02-13T11:27:45.980000,24785.0000,24835.0000,-101.04,1.04,-99.50,44.50,short,stop
long,1,2026-02-13T11:32:28.288000,2026-02-13T14:41:49.880000,24864.0000,24891.0000,52.96,1.04,-61.50,263.00,long,reverse
short,1,2026-02-13T14:41:49.936000,2026-02-13T16:59:49.248000,24890.0000,24771.5000,235.96,1.04,-91.00,317.00,short,eod
long,1,2026-02-15T23:03:47.176000,2026-02-16T09:08:50.680000,24837.2500,24820.5000,-34.54,1.04,-86.50,170.00,long,reverse
short,1,2026-02-16T09:08:51.004000,2026-02-16T10:05:12.284000,24819.5000,24794.0000,49.96,1.04,-7.50,254.50,short,reverse
long,1,2026-02-16T10:06:17.380000,2026-02-16T10:18:30.188000,24795.0000,24745.0000,-101.04,1.04,-99.50,5.00,long,stop
short,1,2026-02-16T10:33:10.892000,2026-02-16T11:10:43.316000,24696.0000,24746.0000,-101.04,1.04,-99.50,36.50,short,stop
long,1,2026-02-16T18:11:58.408000,2026-02-16T20:51:04.804000,24773.7500,24741.0000,-66.54,1.04,-65.50,136.50,long,reverse
short,1,2026-02-16T20:51:05.664000,2026-02-16T21:44:38.964000,24740.0000,24684.5000,109.96,1.04,-27.50,245.00,short,eod
long,1,2026-02-17T03:00:25.612000,2026-02-17T03:56:26.300000,24667.2500,24624.7500,-86.04,1.04,-85.00,119.50,long,reverse
short,1,2026-02-17T04:01:28.180000,2026-02-17T08:25:00.508000,24672.5000,24619.7500,104.46,1.04,-50.00,309.00,short,reverse
long,1,2026-02-17T08:25:01.940000,2026-02-17T09:43:54.436000,24620.5000,24712.7500,183.46,1.04,-87.00,390.00,long,reverse
short,1,2026-02-17T09:43:54.476000,2026-02-17T10:03:56.108000,24711.7500,24563.0000,296.46,1.04,-23.50,501.00,short,reverse
long,1,2026-02-17T10:03:57.100000,2026-02-17T10:07:48.224000,24564.7500,24514.7500,-101.04,1.04,-99.50,14.00,long,stop
short,1,2026-02-17T10:23:48.752000,2026-02-17T10:47:20.404000,24539.7500,24551.0000,-23.54,1.04,-46.50,181.00,short,reverse
long,1,2026-02-17T10:47:20.948000,2026-02-17T12:12:15.416000,24551.5000,24690.7500,277.46,1.04,-25.00,490.00,long,reverse
short,1,2026-02-17T12:12:15.472000,2026-02-17T12:29:34.784000,24690.0000,24740.0000,-101.04,1.04,-99.50,42.00,short,stop
long,1,2026-02-17T13:21:24.152000,2026-02-17T15:22:21.136000,24711.7500,24785.0000,145.46,1.04,-18.00,355.50,long,reverse
short,1,2026-02-17T15:22:26.868000,2026-02-17T21:46:50.568000,24784.0000,24770.5000,25.96,1.04,-69.00,164.00,short,eod
long,1,2026-02-17T23:07:34.168000,2026-02-18T07:34:18.532000,24804.7500,24857.7500,104.96,1.04,-18.50,315.00,long,reverse
short,1,2026-02-18T07:34:24.700000,2026-02-18T08:30:01.180000,24856.5000,24906.5000,-101.04,1.04,-99.50,25.00,short,stop
