direction,qty,entry_time_utc,exit_time_utc,entry_price,exit_price,pnl,commission,mae,mfe,entry_tag,exit_tag
short,1,2026-02-05T14:30:05.888000,2026-02-05T15:07:52.600000,24759.2500,24776.2500,-35.04,1.04,-34.00,174.50,short,reverse
long,1,2026-02-05T15:07:56.604000,2026-02-05T15:15:48.040000,24776.7500,24707.0000,-140.54,1.04,-139.00,63.00,long,reverse
short,1,2026-02-05T15:15:48.116000,2026-02-05T16:00:30.596000,24706.2500,24668.7500,73.96,1.04,-31.50,278.50,short,reverse
long,1,2026-02-05T16:00:30.776000,2026-02-05T16:02:50.244000,24670.0000,24600.0000,-141.04,1.04,-140.00,67.50,long,reverse
short,1,2026-02-05T16:02:50.716000,2026-02-05T19:24:11.292000,24600.0000,24344.2500,510.46,1.04,-67.50,719.00,short,reverse
long,1,2026-02-05T19:24:11.924000,2026-02-05T21:46:59.024000,24345.0000,24511.5000,331.96,1.04,-9.00,466.50,long,eod
short,1,2026-02-06T16:15:48.452000,2026-02-06T16:51:00.820000,25120.2500,25090.0000,59.46,1.04,-29.50,62.00,short,eod
long,1,2026-02-08T18:00:04.996000,2026-02-08T20:05:53.188000,25189.5000,25246.0000,111.96,1.04,-28.50,315.00,long,reverse
short,1,2026-02-08T20:06:01.236000,2026-02-08T21:44:27.972000,25243.7500,25262.7500,-39.04,1.04,-44.00,95.00,short,eod
long,1,2026-02-09T14:33:06.672000,2026-02-09T20:30:06.824000,25424.0000,25305.0000,-239.04,1.04,-238.00,10.00,long,reverse
short,1,2026-02-09T20:30:08.460000,2026-02-09T21:37:48.556000,25304.2500,25288.5000,30.46,1.04,-96.00,34.50,short,eod
long,1,2026-02-10T20:01:25.148000,2026-02-10T21:23:28.072000,25298.7500,25329.0000,59.46,1.04,-3.00,62.50,long,eod
short,1,2026-02-11T18:30:16.600000,2026-02-11T20:38:40.688000,25229.2500,25307.0000,-156.54,1.04,-156.00,47.50,short,reverse
long,1,2026-02-11T20:38:45.116000,2026-02-11T20:43:05.148000,25308.2500,25313.5000,9.46,1.04,-17.50,12.00,long,eod
short,1,2026-02-12T14:33:37.000000,2026-02-12T16:29:58.456000,24914.5000,24823.0000,181.96,1.04,-59.00,386.00,short,reverse
long,1,2026-02-12T16:30:46.800000,2026-02-12T18:40:06.476000,24824.0000,24752.0000,-145.04,1.04,-144.00,63.00,long,reverse
short,1,2026-02-12T18:40:06.768000,2026-02-12T19:01:32.108000,24750.5000,24846.0000,-192.04,1.04,-191.00,12.00,short,reverse
long,1,2026-02-12T19:01:57.384000,2026-02-12T19:42:23.836000,24847.0000,24763.7500,-167.54,1.04,-168.00,35.00,long,reverse
short,1,2026-02-12T19:42:35.472000,2026-02-12T20:07:40.220000,24762.2500,24810.0000,-96.54,1.04,-97.50,107.50,short,reverse
long,1,2026-02-12T20:07:40.556000,2026-02-12T21:33:09.480000,24811.5000,24831.7500,39.46,1.04,-93.50,41.00,long,eod
short,1,2026-02-13T15:26:15.000000,2026-02-13T16:59:49.248000,24788.0000,24771.5000,31.96,1.04,-80.50,113.00,short,eod
long,1,2026-02-16T18:51:22.828000,2026-02-16T20:51:04.804000,24832.5000,24741.0000,-184.04,1.04,-183.00,19.00,long,reverse
short,1,2026-02-16T20:51:05.664000,2026-02-16T21:44:38.964000,24740.0000,24684.5000,109.96,1.04,-27.50,245.00,short,eod
long,1,2026-02-17T14:35:47.432000,2026-02-17T15:24:18.312000,24872.5000,24771.7500,-202.54,1.04,-203.50,34.00,long,reverse
